snapshot_date,snapshot_month,platform,deployment_ring,assets_in_scope,compliant_assets,compliance_percent,noncompliant_assets,approved_exceptions,target_percent,target_met
2026-02-25,2026-02,Rocky Linux 9,Pilot,54,50,92.6,4,2,95.0,0
2026-02-23,2026-02,Windows Server 2022,Production,57,53,93.0,4,2,95.0,0
2026-06-20,2026-06,Windows 11,Pilot,50,46,92.0,4,0,95.0,0
2026-01-20,2026-01,Windows 11,Pilot,50,46,92.0,4,0,95.0,0
2026-07-22,2026-07,Ubuntu 24.04,Critical,30,29,96.7,1,2,95.0,1
2026-05-21,2026-05,Rocky Linux 9,Critical,8,7,87.5,1,2,95.0,0
2026-01-21,2026-01,Rocky Linux 9,Pilot,54,50,92.6,4,2,95.0,0
2026-07-26,2026-07,Windows Server 2022,Production,24,23,95.8,1,1,95.0,1
2026-06-28,2026-06,Windows 11,Critical,25,24,96.0,1,0,95.0,1
2026-07-26,2026-07,Rocky Linux 9,Critical,24,24,100.0,0,2,95.0,1
2026-04-28,2026-04,Rocky Linux 9,Production,61,56,91.8,5,0,95.0,0
2026-05-26,2026-05,Rocky Linux 9,Critical,65,62,95.4,3,2,95.0,1
2026-04-24,2026-04,Ubuntu 24.04,Production,65,60,92.3,5,1,95.0,0
2026-04-26,2026-04,Windows 11,Critical,62,59,95.2,3,2,95.0,1
2026-02-26,2026-02,Rocky Linux 9,Pilot,38,38,100.0,0,1,95.0,1
2026-03-23,2026-03,Windows Server 2022,Critical,48,47,97.9,1,0,95.0,1
2026-03-20,2026-03,Ubuntu 24.04,Pilot,15,14,93.3,1,0,95.0,0
2026-06-22,2026-06,Ubuntu 24.04,Critical,47,44,93.6,3,1,95.0,0
2026-06-22,2026-06,Ubuntu 24.04,Critical,49,49,100.0,0,0,95.0,1
2026-06-21,2026-06,Windows Server 2022,Production,57,53,93.0,4,2,95.0,0
2026-07-21,2026-07,Windows Server 2022,Pilot,35,34,97.1,1,1,95.0,1
2026-06-22,2026-06,Rocky Linux 9,Pilot,32,30,93.8,2,0,95.0,0
2026-03-21,2026-03,Windows Server 2022,Production,24,23,95.8,1,1,95.0,1
2026-04-23,2026-04,Windows 11,Critical,31,30,96.8,1,1,95.0,1
2026-07-28,2026-07,Rocky Linux 9,Pilot,38,38,100.0,0,1,95.0,1
2026-05-22,2026-05,Windows 11,Critical,31,30,96.8,1,1,95.0,1
2026-02-22,2026-02,Windows Server 2022,Production,57,53,93.0,4,2,95.0,0
2026-04-24,2026-04,Ubuntu 24.04,Critical,49,49,100.0,0,0,95.0,1
2026-02-24,2026-02,Ubuntu 24.04,Pilot,31,30,96.8,1,2,95.0,1
2026-07-28,2026-07,Windows Server 2022,Pilot,35,34,97.1,1,1,95.0,1
2026-03-21,2026-03,Rocky Linux 9,Critical,50,46,92.0,4,0,95.0,0
2026-07-28,2026-07,Rocky Linux 9,Pilot,44,43,97.7,1,2,95.0,1
2026-05-26,2026-05,Windows 11,Critical,62,59,95.2,3,2,95.0,1
2026-04-25,2026-04,Ubuntu 24.04,Production,65,60,92.3,5,1,95.0,0
2026-03-21,2026-03,Windows 11,Production,13,12,92.3,1,0,95.0,0
2026-01-27,2026-01,Windows Server 2022,Pilot,35,34,97.1,1,1,95.0,1
2026-02-20,2026-02,Windows 11,Critical,62,59,95.2,3,2,95.0,1
2026-01-20,2026-01,Windows 11,Production,13,12,92.3,1,0,95.0,0
2026-01-24,2026-01,Rocky Linux 9,Critical,40,38,95.0,2,0,95.0,1
